Source,NSSmodel,RA_ICRS,DE_ICRS,Per,Tperi,ecc,Vcm,K1,K2,omega,Flags,_RA.icrs,_DE.icrs
1924490187240994816,SB2,350.00526429276,41.75487136056,20.86168895191109129,-1.07699133369872,0.18858912319224,-8.477887143894086819,70.804088772128992,58.934255996330329,58.49027150242564943,8388608,350.00526429276,41.75487136056
1994714276926012416,SB2,359.28513539867,55.70565054549,12.15693788326552571,2.10724537211541,0.31560973180706,12.047760397547229161,71.700014520373841,72.416075360138024,34.58013666564225019,8388608,359.28513539867,55.70565054549
2009263805058016256,SB2,348.39988310981,56.73810342763,0.55186274325128082,0.1050957249569,0.063299029908943,-8.754072449301881775,98.247095290925998,105.806468079331168,60.96453961657866927,8388608,348.39988310981,56.73810342763
2016814117047594496,SB2,352.07508705024,63.39077942227,3.25889788614876208,0.487131112255201,0.018347184423107,-9.148414135919203716,107.854913682671850,106.327969048124672,337.21671433800611339,8396800,352.07508705024,63.39077942227
2064189358664519424,SB2,307.21187604234,39.15381965689,0.52264111335061647,-0.138648412301761,0.21032740625778,-2.698417821889555590,156.920237214163507,158.631424300569222,304.45759788599895046,25165824,307.21187604234,39.15381965689
2084719405426211072,SB2,305.25290839639,49.20519682129,4.90489290069832506,-0.542405111629589,0.15092281287976,-16.969611245384488285,123.186285569475544,87.026501365980167,335.62811013489647394,8388608,305.25290839639,49.20519682129
2114453601444545024,SB2,275.40964791847,42.16868754257,1.00924083828127897,0.021822008566837,0.24639112428932,-12.847202634611123884,162.676246723181606,176.924118648681741,233.53424502275083796,25165824,275.40964791847,42.16868754257
2126044240713250304,SB2,291.31990633339,43.59552573554,2.43400732287098842,-1.15783443885662,0.70453258683327,-16.388392531361510862,56.179497974545981,57.747925434912702,305.93967898185138665,25165824,291.31990633339,43.59552573554
2220464183270904576,SB2,322.46717505508,64.92124239240,1.64697107518978991,-0.763595141627755,0.13645305583116,-19.178911483772726143,85.694918873946207,74.003245962776163,335.10805579541289489,8388608,322.46717505508,64.92124239240
2224084016064993536,SB2,325.33988290371,69.69283076632,4.42848268273631529,-1.9785837286079,0.072238031979319,-16.467086159697309711,60.068861042754556,112.687622937719382,90.01758368656936682,8388608,325.33988290371,69.69283076632
2261658485914111744,SB2,291.47947544536,68.93546880767,3.26131238384416378,0.935235950742434,0.0079569990947356,-16.075071064326888148,92.193924174827629,102.548686905906607,347.58676272447030442,8388608,291.47947544536,68.93546880767
2270170630058529792,SB2,312.65258269096,67.70301867257,5.18541820468873382,-0.538393658371166,0.06940399375926,26.959674479131972902,70.361200067989685,85.222152939034544,332.22365196594626013,8388608,312.65258269096,67.70301867257
247213477138737920,SB2,60.84214526148,48.84077805619,5.77495889440064847,2.78856077874306,0.0098493892792579,-48.973606209550993640,87.709164075682978,86.796442165049001,336.03938599556653344,8388608,60.84214526148,48.84077805619
