TIC,Source,epsi,sepsi,RUWE,Gmag,RV,e_RV,NSS,RAJ2000,DEJ2000
373874687,1930305225064556160,1.988,4.55E+03,15.548,12.600813,,,0,345.503657,40.97784819
414026507,2007566227834657280,0.347,1.23E+02,2.093,10.936717,,,0,336.837715,56.74036197
282890225,2027512262117411072,0.44,1.53E+02,3.789,13.748258,,,0,299.4856533,27.32022352
87926550,2030334674134046336,0.367,1.71E+02,2.444,10.058671,,,0,299.1642131,29.99143124
103990287,2030847080906750080,0,0.00E+00,1.052,13.55784,,,0,300.2198192,30.86824962
285286180,2032040875683403520,0.048,3.32E+00,0.869,12.129549,-13.58,11.23,0,295.7620757,29.80391304
169282552,2047717987317024000,28.253,2.12E+05,,14.774591,,,0,297.2353275,36.05255016
392799977,2049616706433002368,0.105,1.42E+01,1.343,12.58219,12.61,8.15,0,289.9630002,34.97094486
122513089,2050211129906847488,0.11,1.04E+01,1.451,13.230512,,,0,290.5976618,36.29414106
136532215,2054431399139459840,0.559,5.08E+01,2.454,15.555453,,,4,305.6839047,32.87191027
1967314693,2060537914921040384,0,0.00E+00,1.006,15.054674,,,0,304.4284276,36.47257026
11479549,2060834645625452288,0.058,2.13E+00,1.111,13.924366,,,0,303.9379075,37.59865585
356664286,2166894980350904832,1.084,3.86E+02,5.22,14.232619,,,0,313.1238252,47.56282366
290232009,2168687149933132800,0,0.00E+00,0.977,14.232402,,,0,316.1901931,49.83495627
63701935,2172312205406028672,0.813,5.41E+02,7.995,13.405057,,,0,320.370054,51.81545128
322727163,2180387912158160512,3.473,1.73E+04,20.922,11.005523,21.01,23.09,0,309.7166693,50.46681133
305635022,2195548425150787328,0.272,3.76E+01,2.027,14.22114,,,1,315.6286758,61.13794709
