TIC ID|TOI|Separation (arcsec)|Separation (arcsec) Error|Pos Angle E of N (deg)|Pos Angle E of N (deg) Error|Filter|Delta Mag|Delta Mag Error|Observation Date (UT)|Date|User|Group|Tag|Notes
20892672|TOI 378|3.3108||312.3||I: 879 (289) nm|1.5||2019-07-14|2020-01-24 12:19:58|ziegler|tfopwg|16058|Ziegler et al. (2020)
20892672|TOI 378|0.1839||330||I: 879 (289) nm|1.6||2019-07-14|2020-01-24 12:19:58|ziegler|tfopwg|16057|Ziegler et al. (2020)
20892672|TOI 378|3.3092||312.3||I: 879 (289) nm|1.2||2019-07-14|2020-01-24 12:19:58|ziegler|tfopwg|16059|Ziegler et al. (2020)
21130820|TOI 4548|0.4112||292||I: 879 (289) nm|1.4||2021-11-22|2021-11-29 06:42:04|ziegler|tfopwg|102497|
21130820|TOI 4548|0.409|0.004|294.5|1|Hcont|1.359|0.012|2021-11-11|2021-11-23 04:52:55|ciardi|tfopwg|102241|Palomar AO (PI: ciardi):
21130820|TOI 4548|0.408|0.004|295|1|Brgamma|1.343|0.011|2021-11-11|2021-11-23 04:52:55|ciardi|tfopwg|102241|Palomar AO (PI: ciardi):
21221785||1.049||41.5||562: 562 (54) nm|1.71||2020-12-07|2022-09-15 17:10:23|furlan|tfopwg|93682|
21221785||1.054||41.8||832: 832 (40) nm|1.16||2020-12-07|2022-09-15 17:10:23|furlan|tfopwg|93682|
21831056||0.064||15.155||562: 562 (44) nm|0.43||2022-09-14|2022-10-24 09:52:22|everett||421729|NESSI@WIYN
21831056||0.064||14.518||832: 832 (40) nm|0.34||2022-09-14|2022-10-24 09:52:22|everett||421729|NESSI@WIYN
21831056||0.114||268.4||562: 562 (54) nm|0.3||2020-06-12|2021-11-01 16:02:46|furlan|tfopwg|19662|180 degree ambiguity in PA
21831056||0.115||268.9||832: 832 (40) nm|0.28||2020-06-12|2021-11-01 16:02:46|furlan|tfopwg|19662|180 degree ambiguity in PA
21831056||0.092||123.1||832: 832 (40) nm|3.21||2019-06-09|2021-10-29 14:18:10|furlan|tfopwg|17093|
21831056||0.136||103.8||832: 832 (40) nm|0.37||2019-06-07|2021-10-29 14:18:10|furlan|tfopwg|17063|
21831056||0.132||103.8||562: 562 (54) nm|0.38||2019-06-07|2021-10-29 14:18:10|furlan|tfopwg|17063|
21831056||0.128||104.9||562: 562 (54) nm|1.95||2019-06-09|2021-10-29 14:18:10|furlan|tfopwg|17093|
21832928|TOI 2128|6.497||197.5||Brgamma|3.9378|0.0095|2021-02-24|2021-07-30 14:38:52|ciardi|tfopwg|95929|AO detected companion corresponds to tic entry: 1270429570 - distances and proper motions match target star
21832928|TOI 2128|6.505||197.4||Hcont|4.269|0.015|2021-02-24|2021-07-30 14:38:52|ciardi|tfopwg|95929|AO detected companion corresponds to tic entry: 1270429570 - distances and proper motions match target star
21997420|TOI 3345|1.2305||229.3||I: 879 (289) nm|4.3||2022-05-23|2022-05-25 06:28:32|ziegler|tfopwg|415302|
22069559|TOI 4501|2.579|0.018|104.02|0.08|Hcont|7.124|0.073|2022-05-19|2022-05-26 16:44:41|ciardi|tfopwg|415826|Palomar AO (PI: ciardi): maybe TIC1872785828
22069559|TOI 4501|2.568|0.018|104.14|0.08|Brgamma|6.954|0.062|2022-05-19|2022-05-26 16:44:41|ciardi|tfopwg|415826|Palomar AO (PI: ciardi): maybe TIC1872785828
22221375|TOI 652|0.024||155||832: 832 (40) nm|2.16||2020-03-15|2021-12-17 09:38:16|furlan|tfopwg|103562|180 degree ambiguity in PA, uncertain fit
